Name	Eads	Site_Type	Ag	Au	Cu	Ir	Pd	Pt	Rh	Ru	AWF	AEL	AELA	TotEl	AValEl	Avg_Mass	Avg_Adsorption_111	Avg_Adsorption_100	Avg_Charge	ADBND	ACN	CN1	CN2	CN3	CN4
0_15_42	-0.53844	3	1	1	0	0	1	0	0	0	4.86	2.223	1.39	12	4	137.087	-0.5	-0.633	0.082228	-3.180091	4.667	5	4	5	0
0_15_54	-2.22132	1	0	0	0	0	0	1	0	0	5.93	2.28	2.13	10	10	195.08	-1	-1.2	0.241838	-3.042494	5	5	0	0	0
0_1_49	-1.45114	2	1	0	0	0	0	1	0	0	5.095	2.105	1.715	11	5.5	151.475	-0.6	-0.75	0.10263	-3.254564	5	6	4	0	0
0_1_54	-2.17723	1	0	0	0	0	0	1	0	0	5.93	2.28	2.13	10	10	195.08	-1	-1.2	0.241838	-3.042494	5	5	0	0	0
0_29_42	-3.04733	1	0	0	0	1	0	0	0	0	5.67	2.2	1.56	9	9	192.22	-1.2	-1.4	0.148642	-3.48483	8	8	0	0	0
0_29_42_71	-3.04232	2	0	0	0	1	0	0	0	1	5.19	2.2	1.305	17	8.5	146.645	-1.25	-1.45	-0.043004	-3.438837	8	7	9	0	0
0_29_49	-2.55541	3	1	0	0	1	0	1	0	0	5.287	2.137	1.663	20	6.667	165.057	-0.8	-0.967	0.117967	-3.33132	6.333	8	6	5	0
10_11_22	-0.85649	3	0	2	1	0	0	0	0	0	4.95	2.327	1.953	3	1	152.497	-0.433	-0.533	0.123084	-3.097027	5	4	6	5	0
10_11_50	-1.69183	3	0	1	1	0	0	1	0	0	5.227	2.24	1.893	12	4	151.867	-0.633	-0.767	0.134665	-3.221324	6.667	8	5	7	0
10_20_69	-2.71862	1	0	0	0	0	0	0	0	1	4.71	2.2	1.05	8	8	101.07	-1.3	-1.5	-0.24022	-3.606558	8	8	0	0	0
10_20_70	-2.03048	3	0	0	1	0	0	1	0	1	5.097	2.127	1.473	19	6.333	119.9	-0.933	-1.1	-0.07045	-3.351367	8.333	10	6	9	0
10_22_43	-1.29878	2	0	0	1	0	1	0	0	0	4.935	2.05	0.9	11	5.5	84.985	-0.7	-0.85	-0.044235	-2.433964	6.5	8	5	0	0
10_22_43_69	-2.78535	1	0	0	0	0	0	0	0	1	4.71	2.2	1.05	8	8	101.07	-1.3	-1.5	-0.24022	-3.606558	8	8	0	0	0
10_43_69	-2.66238	1	0	0	0	0	0	0	0	1	4.71	2.2	1.05	8	8	101.07	-1.3	-1.5	-0.24022	-3.606558	8	8	0	0	0
